City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
5,Yulara,AU,77.43,-25.2406,130.9889,overcast clouds,Desert Gardens Hotel - Ayers Rock Resort
6,Kupang,ID,86.47,-10.1667,123.5833,few clouds,Hotel On The Rock by Prasanthi
8,Carnarvon,AU,72.18,-24.8667,113.6333,clear sky,Hospitality Carnarvon
11,Las Navas,PH,89.06,12.3392,125.0313,broken clouds,JMT SQUARE
12,Ribeira Grande,PT,70.32,38.5167,-28.7,clear sky,Quinta da Meia Eira
14,Pedernales,DO,79.21,18.0384,-71.744,overcast clouds,Hotel Costa Marina
16,Kapaa,US,82.38,22.0752,-159.319,few clouds,Sheraton Kauai Coconut Beach Resort
18,Butaritari,KI,82.0,3.0707,172.7902,overcast clouds,Isles Sunset Lodge
22,Ambon,ID,87.94,-3.6954,128.1814,scattered clouds,Swiss-Belhotel Ambon
27,Isangel,VU,86.11,-19.55,169.2667,broken clouds,Tanna Lodge
30,Rikitea,PF,73.69,-23.1203,-134.9692,clear sky,People ThankYou
31,Black River,JM,78.46,18.0264,-77.8487,overcast clouds,Idlers' Rest Beach Hotel
35,Wanning,CN,80.47,18.8003,110.3967,overcast clouds,Paradise Hotel
36,San Patricio,US,78.84,28.017,-97.5169,clear sky,"Motel 6 Sinton, TX"
39,Kavaratti,IN,81.27,10.5669,72.642,overcast clouds,Green leaf
44,Caravelas,BR,70.7,-17.7125,-39.2481,overcast clouds,Pousada dos Navegantes
47,Itarema,BR,77.86,-2.9248,-39.9167,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
51,Upata,VE,71.02,8.0086,-62.3989,scattered clouds,Posada Villa Nela
54,Puerto Carreno,CO,75.18,6.189,-67.4859,scattered clouds,Casa Hotel Victoria
56,Takoradi,GH,74.82,4.8845,-1.7554,overcast clouds,Raybow International Hotel
57,Avarua,CK,75.25,-21.2078,-159.775,few clouds,Paradise Inn
63,Nabire,ID,86.45,-3.3667,135.4833,broken clouds,Hotel Nusantara I
69,Karpathos,GR,73.36,35.507,27.2132,clear sky,Alex
72,Boueni,YT,73.38,-12.9025,45.0761,clear sky,The feet in water
77,Kamaishi,JP,75.33,39.2667,141.8833,overcast clouds,Hotel Route Inn Kamaishi
83,Lorengau,PG,85.96,-2.0226,147.2712,scattered clouds,Lorengau Harbourside Hotel
90,Thap Than,TH,79.27,15.4606,99.8917,overcast clouds,ขวัญเรือน ขำสุข
91,Mahebourg,MU,70.09,-20.4081,57.7,broken clouds,Shandrani Beachcomber Resort & Spa
92,Vaini,TO,78.96,-21.2,-175.2,few clouds,Keleti Beach Resort
94,Touros,BR,75.96,-5.1989,-35.4608,overcast clouds,INN NEW HORIZON
97,Hithadhoo,MV,81.28,-0.6,73.0833,overcast clouds,Scoop Guest House
98,Ilheus,BR,70.45,-14.7889,-39.0494,overcast clouds,Barravento Hotel
99,Progreso,MX,76.53,21.2833,-89.6667,overcast clouds,Playa Linda Hotel
101,Cotonou,BJ,78.78,6.3654,2.4183,scattered clouds,Novotel Cotonou Orisha
103,Tiruvannamalai,IN,78.87,12.2167,79.0667,overcast clouds,Arpanaa Hotels
