City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,56.64,85,100,4.99,overcast clouds
1,Colares,PT,38.7992,-9.4469,60.76,88,47,23.0,scattered clouds
2,Ushuaia,AR,-54.8,-68.3,46.06,53,20,3.44,few clouds
3,Tiksi,RU,71.6872,128.8694,18.77,88,67,7.94,broken clouds
4,Yellowknife,CA,62.456,-114.3525,54.12,76,75,11.5,broken clouds
5,Yulara,AU,-25.2406,130.9889,77.43,19,100,13.44,overcast clouds
6,Kupang,ID,-10.1667,123.5833,86.47,59,21,5.57,few clouds
7,Hermanus,ZA,-34.4187,19.2345,58.5,69,100,2.86,overcast clouds
8,Carnarvon,AU,-24.8667,113.6333,72.18,59,0,20.92,clear sky
9,Ahipara,NZ,-35.1667,173.1667,64.94,90,68,11.56,broken clouds
10,Hagenow,DE,53.4333,11.1833,48.16,68,100,12.19,overcast clouds
11,Las Navas,PH,12.3392,125.0313,89.06,61,54,5.93,broken clouds
12,Ribeira Grande,PT,38.5167,-28.7,70.32,70,9,12.3,clear sky
13,Kensington,AU,-33.9167,151.2167,65.91,59,75,13.8,broken clouds
14,Pedernales,DO,18.0384,-71.744,79.21,79,98,4.25,overcast clouds
15,Westport,US,41.1415,-73.3579,59.79,83,100,5.99,overcast clouds
16,Kapaa,US,22.0752,-159.319,82.38,75,23,4.0,few clouds
17,Provideniya,RU,64.3833,-173.3,38.52,78,99,23.22,overcast clouds
18,Butaritari,KI,3.0707,172.7902,82.0,77,91,14.07,overcast clouds
19,Busselton,AU,-33.65,115.3333,67.1,56,93,14.43,overcast clouds
20,Lublin,PL,51.0,23.0,49.59,97,100,6.08,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,60.19,89,98,4.0,overcast clouds
22,Ambon,ID,-3.6954,128.1814,87.94,66,40,4.61,scattered clouds
23,Punta Arenas,CL,-53.15,-70.9167,46.51,61,40,29.93,scattered clouds
24,Torbay,CA,47.6666,-52.7314,52.27,91,40,11.5,scattered clouds
25,Bluff,NZ,-46.6,168.3333,52.81,59,1,8.46,clear sky
26,Albany,US,42.6001,-73.9662,48.52,88,100,1.7,overcast clouds
27,Isangel,VU,-19.55,169.2667,86.11,74,75,11.5,broken clouds
28,Fairbanks,US,64.8378,-147.7164,55.4,64,100,0.0,overcast clouds
29,Kungurtug,RU,50.5994,97.5228,24.04,59,94,3.33,overcast clouds
30,Rikitea,PF,-23.1203,-134.9692,73.69,73,0,7.7,clear sky
31,Black River,JM,18.0264,-77.8487,78.46,84,100,2.71,overcast clouds
32,Shalakusha,RU,62.2247,40.2539,43.12,97,90,5.95,overcast clouds
33,Cape Town,ZA,-33.9258,18.4232,59.38,76,0,5.75,clear sky
34,Vardo,NO,70.3705,31.1107,42.78,75,100,10.36,overcast clouds
35,Wanning,CN,18.8003,110.3967,80.47,87,100,7.05,overcast clouds
36,San Patricio,US,28.017,-97.5169,78.84,51,0,9.42,clear sky
37,Gamba,GA,-2.65,10.0,74.03,95,100,4.88,heavy intensity rain
38,Young,UY,-32.6833,-57.6333,50.47,94,0,6.33,clear sky
39,Kavaratti,IN,10.5669,72.642,81.27,75,100,10.27,overcast clouds
40,Arraial Do Cabo,BR,-22.9661,-42.0278,66.16,77,0,5.75,light rain
41,Bredasdorp,ZA,-34.5322,20.0403,52.43,86,87,4.21,overcast clouds
42,Letterkenny,IE,54.95,-7.7333,50.67,86,36,15.26,scattered clouds
43,Svetlogorsk,BY,52.6333,29.7333,54.32,96,97,6.64,overcast clouds
44,Caravelas,BR,-17.7125,-39.2481,70.7,88,100,11.65,overcast clouds
45,San Cristobal,VE,7.7669,-72.225,68.18,99,98,3.78,overcast clouds
46,Hobart,AU,-42.8794,147.3294,63.05,54,40,6.91,scattered clouds
47,Itarema,BR,-2.9248,-39.9167,77.86,85,74,16.78,broken clouds
48,Mataura,NZ,-46.1927,168.8643,52.48,36,1,4.92,clear sky
49,Nevers,FR,46.9167,3.3333,47.53,95,100,9.28,light rain
50,New Norfolk,AU,-42.7826,147.0587,62.71,37,2,3.67,clear sky
51,Upata,VE,8.0086,-62.3989,71.02,93,42,2.64,scattered clouds
52,Agadez,NE,19.75,10.25,86.02,31,15,5.91,few clouds
53,Port Macquarie,AU,-31.4333,152.9167,63.9,64,68,12.66,broken clouds
54,Puerto Carreno,CO,6.189,-67.4859,75.18,94,40,2.3,scattered clouds
55,Khatanga,RU,71.9667,102.5,30.04,97,100,13.02,light snow
56,Takoradi,GH,4.8845,-1.7554,74.82,91,89,10.29,overcast clouds
57,Avarua,CK,-21.2078,-159.775,75.25,60,15,12.66,few clouds
58,Ketchikan,US,55.3422,-131.6461,56.44,96,100,5.77,light rain
59,Vestmannaeyjar,IS,63.4427,-20.2734,47.59,88,100,15.7,overcast clouds
60,Ilulissat,GL,69.2167,-51.1,21.74,80,97,5.32,overcast clouds
61,Jamestown,US,42.097,-79.2353,51.03,87,100,4.0,overcast clouds
62,Lagoa,PT,39.05,-27.9833,68.54,64,5,2.28,clear sky
63,Nabire,ID,-3.3667,135.4833,86.45,64,51,5.37,broken clouds
64,Thompson,CA,55.7435,-97.8558,32.16,80,20,4.61,few clouds
65,Longyearbyen,SJ,78.2186,15.6401,35.44,100,100,5.75,mist
66,Swift Current,CA,50.2834,-107.8014,63.41,55,100,13.8,overcast clouds
67,Barrow,US,71.2906,-156.7887,29.1,83,100,10.92,overcast clouds
68,Nanortalik,GL,60.1432,-45.2371,40.53,92,100,9.26,light rain
69,Karpathos,GR,35.507,27.2132,73.36,100,0,8.05,clear sky
70,Semirom,IR,31.4167,51.5667,54.07,22,0,2.62,clear sky
71,Castro,BR,-24.7911,-50.0119,53.35,98,99,3.42,overcast clouds
72,Boueni,YT,-12.9025,45.0761,73.38,72,0,5.28,clear sky
73,Katangli,RU,51.7102,143.2326,45.73,56,100,9.84,overcast clouds
74,Mineros,BO,-17.1167,-63.2333,68.32,61,9,5.26,clear sky
75,Puerto Madryn,AR,-42.7692,-65.0385,53.76,68,61,5.97,broken clouds
76,Okhotsk,RU,59.3833,143.3,40.14,75,100,14.63,overcast clouds
77,Kamaishi,JP,39.2667,141.8833,75.33,57,100,8.81,overcast clouds
78,Turhal,TR,40.3875,36.0811,61.02,70,0,1.14,clear sky
79,Port Elizabeth,ZA,-33.918,25.5701,60.31,95,20,17.27,few clouds
80,Upernavik,GL,72.7868,-56.1549,19.06,84,72,4.59,broken clouds
81,Lillesand,NO,58.2488,8.3778,54.9,94,75,14.97,light rain
82,Komsomolskiy,UZ,40.4272,71.7189,65.12,42,100,4.61,overcast clouds
83,Lorengau,PG,-2.0226,147.2712,85.96,60,39,8.32,scattered clouds
84,Kumbo,CM,6.2,10.6667,57.49,92,84,1.1,broken clouds
85,Tasiilaq,GL,65.6145,-37.6368,36.73,79,100,4.59,overcast clouds
86,Flinders,AU,-34.5833,150.8552,62.19,79,90,1.99,light rain
87,Codrington,AU,-38.2667,141.9667,61.92,66,0,6.15,clear sky
88,Raglan,NZ,-37.8,174.8833,62.1,96,100,14.0,light rain
89,Pacific Grove,US,36.6177,-121.9166,61.02,91,32,5.01,scattered clouds
90,Thap Than,TH,15.4606,99.8917,79.27,86,100,8.03,overcast clouds
91,Mahebourg,MU,-20.4081,57.7,70.09,73,75,11.5,broken clouds
92,Vaini,TO,-21.2,-175.2,78.96,73,20,9.22,few clouds
93,Qaanaaq,GL,77.484,-69.3632,13.91,68,30,7.11,scattered clouds
94,Touros,BR,-5.1989,-35.4608,75.96,83,100,14.43,overcast clouds
95,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,86,75,14.97,broken clouds
96,Fortuna,US,40.5982,-124.1573,60.91,83,1,3.15,clear sky
97,Hithadhoo,MV,-0.6,73.0833,81.28,74,94,11.61,overcast clouds
98,Ilheus,BR,-14.7889,-39.0494,70.45,93,96,8.39,overcast clouds
99,Progreso,MX,21.2833,-89.6667,76.53,61,94,8.57,overcast clouds
100,Nikolskoye,RU,59.7035,30.7861,44.49,97,58,4.72,broken clouds
101,Cotonou,BJ,6.3654,2.4183,78.78,83,40,12.66,scattered clouds
102,Santa Cruz,BO,-17.8,-63.1667,69.26,60,1,8.05,clear sky
103,Tiruvannamalai,IN,12.2167,79.0667,78.87,68,100,11.1,overcast clouds
104,Bambous Virieux,MU,-20.3428,57.7575,70.05,73,75,11.5,broken clouds
105,Dikson,RU,73.5069,80.5464,34.66,85,100,16.69,overcast clouds
